Price,Baths,Land size,Beds,House size,Seller_type,town,district
5400000,1,50,3,1600,Member,Matara City,Matara
16800000,3,8,3,1480,Premium-Member,Athurugiriya,Colombo
20000000,2,20,3,2800,Member,Kelaniya,Gampaha
187000000,5,22,5,4000,Premium-Member,Colombo 6,Colombo
1300000,1,6.3,2,900,Member,Dehiwala,Colombo
55000000,4,11,4,3300,Premium-Member,Talawatugoda,Colombo
45000000,4,10,4,4100,Member,Kandy City,Kandy
16700000,3,9,3,1400,Member,Piliyandala,Colombo
50000000,4,10,4,4000,Premium-Member,Talawatugoda,Colombo
16000000,1,3000,3,2000,Premium-Member,Kadawatha,Gampaha
19500000,2,10,4,5000,Premium-Member,Gampaha City,Gampaha
11500000,1,9.85,3,1800,Premium-Member,Katugastota,Kandy
26500000,3,10.5,4,3100,Premium-Member,Negombo,Gampaha
19000000,2,11.4,4,1900,Premium-Member,Malabe,Colombo
11000000,1,80,3,1100,Member,Jaffna City,Jaffna
16500000,2,7.5,3,1250,Premium-Member,Malabe,Colombo
6500000,1,3,2,950,Premium-Member,Rajagiriya,Colombo
55000000,5,11,4,3000,Premium-Member,Battaramulla,Colombo
50000000,3,20.5,4,2900,Premium-Member,Battaramulla,Colombo
13500000,2,15,3,1400,Member,Moratuwa,Colombo
24500000,2,7.42,4,2900,Member,Moratuwa,Colombo
32500000,2,21.5,4,2880,Member,Piliyandala,Colombo
27000000,5,11.2,9,3085,Premium-Member,Nugegoda,Colombo
32500000,4,7.5,5,2042,Premium-Member,Dehiwala,Colombo
33000000,3,8,4,3200,Member,Kottawa,Colombo
28500000,3,10.2,5,2800,Premium-Member,Homagama,Colombo
17000000,3,10.3,5,2600,Premium-Member,Minuwangoda,Gampaha
31000000,4,12.5,4,2882,Member,Negombo,Gampaha
4500000,1,150,3,750,Member,Elpitiya,Galle
14800000,1,6.8,3,1800,Premium-Member,Malabe,Colombo
27000000,4,7,4,2700,Member,Kottawa,Colombo
39500000,4,12,4,4200,Premium-Member,Battaramulla,Colombo
32500000,6,11,8,4000,Premium-Member,Karapitiya,Galle
35000000,5,10,6,2000,Member,Dehiwala,Colombo
65000000,5,27.5,6,5000,Premium-Member,Talawatugoda,Colombo
36440000,2,9.11,4,1650,Premium-Member,Colombo 9,Colombo
40000000,4,12.1,6,3000,Premium-Member,Ratmalana,Colombo
49500000,4,10,4,4000,Premium-Member,Talawatugoda,Colombo
25500000,3,6.8,4,2500,Premium-Member,Piliyandala,Colombo
29500000,4,10,7,5000,Premium-Member,Kandy City,Kandy
85000000,5,15.5,5,3200,Premium-Member,Dehiwala,Colombo
28000000,4,10,4,2800,Premium-Member,Athurugiriya,Colombo
47000000,3,14,3,2800,Premium-Member,Nugegoda,Colombo
8400000,1,15,3,3000,Member,Kalutara City,Kalutara
75000000,2,10.4,3,5400,Premium-Member,Boralesgamuwa,Colombo
